2026-04-07 21:43:06.469	INFO	file-browser/app.go:38	Creating new app
2026-04-07 21:50:00.631	INFO	render/drag.go:25	Drag leave signal received	{"x": 486, "y": 535}
2026-04-07 21:50:00.651	INFO	render/drag.go:25	Drag leave signal received	{"x": 531, "y": 534}
2026-04-07 21:50:00.662	INFO	render/drag.go:25	Drag leave signal received	{"x": 555, "y": 534}
2026-04-07 21:50:00.680	INFO	render/drag.go:25	Drag leave signal received	{"x": 602, "y": 534}
2026-04-07 21:50:00.692	INFO	render/drag.go:25	Drag leave signal received	{"x": 617, "y": 534}
2026-04-07 21:50:00.697	INFO	render/drag.go:25	Drag leave signal received	{"x": 635, "y": 535}
2026-04-07 21:50:00.710	INFO	render/drag.go:25	Drag leave signal received	{"x": 652, "y": 537}
2026-04-07 21:50:00.738	INFO	render/drag.go:25	Drag leave signal received	{"x": 685, "y": 544}
2026-04-07 21:50:00.749	INFO	render/drag.go:25	Drag leave signal received	{"x": 691, "y": 546}
2026-04-07 21:50:01.143	INFO	render/drag.go:25	Drag leave signal received	{"x": 685, "y": 551}
2026-04-07 21:50:01.149	INFO	render/drag.go:25	Drag leave signal received	{"x": 673, "y": 549}
2026-04-07 21:50:01.171	INFO	render/drag.go:25	Drag leave signal received	{"x": 643, "y": 545}
2026-04-07 21:50:01.181	INFO	render/drag.go:25	Drag leave signal received	{"x": 632, "y": 544}
2026-04-07 21:50:01.191	INFO	render/drag.go:25	Drag leave signal received	{"x": 622, "y": 542}
2026-04-07 21:50:01.196	INFO	render/drag.go:25	Drag leave signal received	{"x": 611, "y": 541}
2026-04-07 21:50:01.208	INFO	render/drag.go:25	Drag leave signal received	{"x": 601, "y": 541}
2026-04-07 21:50:01.266	INFO	render/drag.go:25	Drag leave signal received	{"x": 542, "y": 533}
2026-04-07 21:50:01.284	INFO	render/drag.go:25	Drag leave signal received	{"x": 533, "y": 532}
2026-04-07 21:50:01.314	INFO	render/drag.go:25	Drag leave signal received	{"x": 509, "y": 528}
2026-04-07 21:50:01.838	INFO	render/drag.go:32	Drop signal received	{"x": 472, "y": 526, "paths": [""]}
